epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1256.56,0.77925,2.02573,1.17757,0.74049,0.68373,0.76089,0.55966,0.86925,1.85866,1.28753,0.000473687,0.000473687,0.000473687
2,2232.18,0.84187,1.48806,1.21347,0.68522,0.60423,0.69903,0.49422,0.94827,1.88378,1.31018,0.000887319,0.000887319,0.000887319
3,3248.58,0.85665,1.2901,1.22609,0.60976,0.65832,0.66662,0.45437,1.05722,1.59977,1.44011,0.00123808,0.00123808,0.00123808
4,4272.76,0.84191,1.15786,1.20766,0.71956,0.77867,0.81406,0.58404,0.96591,1.21435,1.34359,0.00114606,0.00114606,0.00114606
5,5265.69,0.79252,0.99656,1.17807,0.83877,0.78713,0.88838,0.71857,0.70782,0.91077,1.12682,0.00105174,0.00105174,0.00105174
6,6252.21,0.62845,0.85953,1.07847,0.82266,0.81535,0.89985,0.71592,0.70401,0.83539,1.11584,0.00095743,0.00095743,0.00095743
7,7242.05,0.594,0.68346,1.04851,0.86664,0.84793,0.91713,0.74975,0.65184,0.72582,1.0564,0.000863116,0.000863116,0.000863116
8,8228.07,0.54352,0.59762,1.00922,0.90688,0.82398,0.9313,0.77866,0.62567,0.69494,1.05148,0.000768802,0.000768802,0.000768802
9,9215.16,0.51351,0.55233,0.99347,0.9054,0.8635,0.94303,0.79491,0.61396,0.60236,1.04359,0.000674488,0.000674488,0.000674488
10,10203.1,0.4823,0.50522,0.97484,0.89562,0.86775,0.92137,0.79392,0.56621,0.59723,1.00123,0.000580174,0.000580174,0.000580174
11,11193.3,0.45442,0.47372,0.95301,0.898,0.87791,0.94499,0.82565,0.54783,0.57398,0.99815,0.00048586,0.00048586,0.00048586
12,12180.9,0.42846,0.40197,0.93671,0.93314,0.88581,0.94983,0.83277,0.52731,0.51387,0.97442,0.000391546,0.000391546,0.000391546
13,13164.3,0.40544,0.35884,0.91938,0.9049,0.90952,0.96152,0.85163,0.51757,0.48051,0.97439,0.000297232,0.000297232,0.000297232
14,14146.4,0.38299,0.33287,0.90428,0.93015,0.89775,0.96778,0.86541,0.49274,0.46021,0.9541,0.000202918,0.000202918,0.000202918
15,15125.8,0.35762,0.29964,0.89539,0.93296,0.91581,0.96778,0.86189,0.48265,0.43887,0.95202,0.000108604,0.000108604,0.000108604
