epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,955.226,0.51716,0.52167,1.02199,0.94589,0.89008,0.97041,0.85857,0.5097,0.42604,0.95362,0.000473687,0.000473687,0.000473687
2,1951.55,0.55011,0.54211,1.03722,0.88761,0.86095,0.91947,0.80019,0.55717,0.55016,0.9955,0.000887319,0.000887319,0.000887319
3,2958.72,0.57494,0.58584,1.04583,0.90495,0.88111,0.94933,0.79932,0.60826,0.53371,1.02907,0.00123808,0.00123808,0.00123808
4,3971.22,0.58624,0.59868,1.04822,0.89269,0.90407,0.94159,0.79039,0.63684,0.55514,1.07219,0.00114606,0.00114606,0.00114606
5,4979.9,0.57986,0.55931,1.04779,0.9159,0.88407,0.94981,0.80953,0.58386,0.50698,1.02711,0.00105174,0.00105174,0.00105174
6,5974.26,0.43127,0.38076,0.93594,0.88844,0.87441,0.94148,0.81133,0.5754,0.55867,1.01945,0.00095743,0.00095743,0.00095743
7,6968.78,0.42386,0.35637,0.92865,0.90423,0.8815,0.94934,0.81857,0.56369,0.51912,1.01217,0.000863116,0.000863116,0.000863116
8,7969.4,0.39365,0.33964,0.90884,0.91187,0.86508,0.94727,0.82602,0.55363,0.54301,1.00487,0.000768802,0.000768802,0.000768802
9,8965.29,0.38214,0.31215,0.89901,0.93379,0.90483,0.95998,0.84563,0.51868,0.46554,0.96559,0.000674488,0.000674488,0.000674488
10,9961.72,0.36512,0.30026,0.89666,0.9174,0.86985,0.94844,0.8485,0.50807,0.53499,0.9552,0.000580174,0.000580174,0.000580174
11,10957.9,0.34543,0.27064,0.88228,0.92829,0.89891,0.94997,0.84459,0.51053,0.46524,0.97399,0.00048586,0.00048586,0.00048586
12,11995.7,0.33329,0.25875,0.87756,0.95323,0.9041,0.96714,0.86193,0.48992,0.4286,0.95748,0.000391546,0.000391546,0.000391546
13,12990.5,0.32005,0.23799,0.86739,0.94784,0.92008,0.96837,0.87488,0.47646,0.39497,0.94156,0.000297232,0.000297232,0.000297232
14,13982,0.30164,0.22463,0.85874,0.9311,0.91946,0.96747,0.87143,0.47327,0.41126,0.94891,0.000202918,0.000202918,0.000202918
15,14976.9,0.29133,0.21118,0.85779,0.93749,0.92805,0.97122,0.8776,0.46735,0.40297,0.93844,0.000108604,0.000108604,0.000108604
